"indication"|"icd"|"source_data"
Acute gouty arthritis|ICD-11: FA25.0|public
African trypanosomiasis|ICD-11: 1F51|public
Albinism|ICD-11: EC23.2|public
Allergic skin disorder|ICD-11: 4A82|public
Amyloidosis|ICD-11: 5D00|public
Anaesthesia|ICD-11: 9A78.6|public
Androgen deficiency|ICD-11: 5A81.1|public
Ascites|ICD-11: ME04|public
Axial spondyloarthritis|ICD-11: FA92.0|public
Cardiovascular disease|ICD-11: BA00-BE2Z|public
Cerebral X-linked adrenoleukodystrophy|ICD-11: 5C57.1|public
Cervical Intraepithelial neoplasia|ICD-11: 2E66.1|public
Chronic granulomatous disease|ICD-11: 4A00.0Y|public
Chronic inflammatory demyelinating polyneuropathy|ICD-11: 8C01.3|public
Circulatory disorder|ICD-11: BE2Z|public
Cockayne syndrome|ICD-11: LD2B|public
Common cold|ICD-11: CA00|public
Contrast imaging|ICD-11: N.A.|public
Corneal abrasion|ICD-11: NA06.4|public
Coronary microvascular disease|ICD-11: BA86|public
Cushing disease|ICD-11: 5A70|public
Degenerative high myopia|ICD-11: 9B76|public
Dermatologic infection|ICD-11: 1F28|public
Dermatomyositis|ICD-11: 4A41.0|public
Digestive organ benign neoplasm|ICD-11: 2E92|public
Dry cough|ICD-11: MD12|public
Dystonic disorder|ICD-11: 8A02|public
Eczema|ICD-11: EA80-EA89|public
Erosive esophagitis|ICD-11: DA25.0|public
Extremities vasodilatation|ICD-11: EG00|public
Female genital system disease|ICD-11: GA6Z|public
Functional bladder disorder|ICD-11: GC50|public
Gastrointestinal cancer|ICD-11: 2C11|public
Gingivitis|ICD-11: DA0B|public
Gonorrheal vaginitis|ICD-11: GA02|public
Gram-positive bacterial infection|ICD-11: 1B74-1G40|public
Graves ophthalmopathy|ICD-11: 9C82.3|public
Haemolytic uraemic syndrome|ICD-11: 3A21.2|public
Heart block|ICD-11: BC63|public
Heart injury|ICD-11: NB31|public
Hemorrhage|ICD-11: MG27|public
Hemorrhagic fever|ICD-11: 1D61|public
Hepatitis B|ICD-11: 1E51|public
Herpes simplex virus infection|ICD-11: 1F00|public
Hypereosinophilic syndrome|ICD-11: 2A20.3|public
Hyperlipidaemia|ICD-11: 5C80|public
Hyperlipoproteinemia|ICD-11: 5C80|public
Hypersensitivity|ICD-11: 4A80-4A85|public
Hypo-kalaemia|ICD-11: 5C77|public
Hypo-thyroidism|ICD-11: 5A00|public
Hypoplasminogenemia|ICD-11: DA0D.3|public
Immune thrombocytopenic purpura|ICD-11: 3B64.13|public
Influenza A virus H5N1 infection|ICD-11: 1E30|public
Investigative surgical procedure|ICD-11: QB8Z|public
Kidney fibrosis|ICD-11: GC01|public
Long QT syndrome|ICD-11: BC65.0|public
Mature gastrointestinal nematode infection|ICD-11: 1F6Y|public
Mesothelin Positive tumour|ICD-11: 2C51-2F10|public
Nasopharyngitis|ICD-11: CA00|public
Neonatal malabsorption syndrome|ICD-11: KB89|public
Nerve injury|ICD-11: ND56.4|public
Neurofibromatosis 1|ICD-11: LD2D.10|public
Nicotine dependence|ICD-11: 6C4A.2|public
Non-typhoidal salmonella|ICD-11: 1A09|public
Pelvic inflammatory disease|ICD-11: GA05|public
Peripheral nervous system tumour|ICD-11: 2B5E|public
Pleural mesothelioma|ICD-11: 2C26.0|public
Prader-Willi syndrome|ICD-11: LD90.3|public
Psoriatic arthritis|ICD-11: FA21|public
Psoriatic disorder|ICD-11: EA90|public
Pulmonary arterial hypertension|ICD-11: BB01.0|public
Qualitative platelet defect|ICD-11: 3B62|public
Refractory metastatic multiple myeloma|ICD-11: 2A83.1|public
Resorption of radiopaque agents|ICD-11: N.A.|public
Respiratory allergy|ICD-11: 4A80|public
Scleroderma|ICD-11: 4A42|public
Severe sepsis|ICD-11: 1G40-1G41|public
Stabilize muscle contraction|ICD-11: FB3Z|public
Thiamine deficiency|ICD-11: 5B5A|public
Thllium and radioactive isotopes of caesium poisoning|ICD-11: NE61|public
Thymidine kinase 2 deficiency|ICD-11: 5C55.1|public
Trematode infection|ICD-11: 1F8Y|public
Tripeptidyl peptidase 1 deficiency|ICD-11: 5C50|public
Uterine fibroid|ICD-11: 2E86|public
Visceral spasms|ICD-11: MD81.4|public
Vitamin C deficiency|ICD-11: 5B56|public
Vulvovaginal Candidiasis|ICD-11: 1F23.10|public
Achondroplasia|ICD-11: LD24.00|public
Acquired methaemoglobinaemia|ICD-11: 3A93|public
Active duodenal ulcer|ICD-11: DA63|public
Acute bacterial skin infection|ICD-11: 1C41|public
Acute gout flare|ICD-11: FA25.0|public
Acute radiation syndrome|ICD-11: NF00|public
Alcohol dependence|ICD-11: 6C40.2|public
Anal fistula|ICD-11: DB50.1|public
Anemia|ICD-11: 3A00-3A9Z|public
Aneurysmal subarachnoid hemorrhage|ICD-11: 8B01.0|public
Angioimmunoblastic T-cell Lymphoma|ICD-11: 2A90.9|public
Arterial thrombosis|ICD-11: DB61-DD30|public
Aspergillosis|ICD-11: 1F20|public
B-lineage lymphoma|ICD-11: 2A86|public
Bacterial vaginosis|ICD-11: MF3A|public
Burns|ICD-11: N.A.|public
Cheyne-stokes respiration|ICD-11: MD11.Y|public
Cognitive impairment|ICD-11: 6D71|public
Colon polyp|ICD-11: DB35|public
Coronary heart disease|ICD-11: BA80.Z|public
Cutaneous melanoma|ICD-11: 2C30|public
Delayed graft function|ICD-11: 4B24.0|public
Dermatophytosis|ICD-11: 1F28.2|public
Ehlers-Danlos syndrome|ICD-11: LD28.1|public
Familial adenomatous polyposis|ICD-11: 2B90.Y|public
Female infertility|ICD-11: GA31.Z|public
Focal dystonia|ICD-11: 8A02.1|public
Functional dyspepsia|ICD-11: DD90.3|public
Gastrointestinal infection|ICD-11: 1A40.Z|public
Giant axonal neuropathy|ICD-11: 8C2Y|public
Gingival disease|ICD-11: DA0B|public
Glioblastoma multiforme|ICD-11: 2A00.0|public
Glioma|ICD-11: 2A00.0|public
Glycogen storage disease type II|ICD-11: 5C51.3|public
Gram-negative bacterial infection|ICD-11: 1B74-1G40|public
Grass pollen hypersensitivity|ICD-11: 4B07|public
Gynecological disease|ICD-11: GA6Z|public
Head injury|ICD-11: NA00-NA0Z|public
Hematologic disease|ICD-11: 3C0Z|public
Hepatic fibrosis/cirrhosis|ICD-11: DB93|public
Hypo-osmolality/hyponatraemia|ICD-11: 5C72|public
Irritable bowel syndrome|ICD-11: DD91.0|public
Isosporiasis|ICD-11: 1A33|public
Keratosis|ICD-11: ED56|public
Large granular lymphocytic leukemia|ICD-11: 2A90.1|public
